,Month,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
100,1980-04-10,00:00:00,13.65,7.0,17.4,,,81.66,0.0,3.12,0.76,1980-04-10
101,1980-04-11,00:00:00,13.2,10.3,16.7,,,84.33,0.0,3.33,0.8,1980-04-11
102,1980-04-12,00:00:00,13.22,7.9,19.1,,,80.66,0.0,4.14,1.01,1980-04-12
103,1980-04-13,00:00:00,14.025,7.4,18.5,,,80.0,0.2,4.35,1.34,1980-04-13
104,1980-04-14,00:00:00,14.6,10.6,20.2,,,76.0,6.1,5.05,1.22,1980-04-14
105,1980-04-15,00:00:00,12.5,10.3,15.0,,,90.3333333333,0.6000000000000001,1.19,0.37,1980-04-15
106,1980-04-16,00:00:00,12.8,9.0,16.4,,,84.6666666667,0.0,3.6,1.2,1980-04-16
107,1980-04-17,00:00:00,12.3,10.2,16.0,,,83.6666666667,0.3,2.7,1.55,1980-04-17
108,1980-04-18,00:00:00,12.225,7.3,16.5,,,82.6666666667,0.0,2.92,2.11,1980-04-18
109,1980-04-19,00:00:00,13.25,6.8,19.6,,,72.3333333333,0.0,,0.84,1980-04-19
110,1980-04-20,00:00:00,14.35,8.0,22.4,,,69.6666666667,0.7000000000000001,,1.92,1980-04-20
111,1980-04-21,00:00:00,13.7,10.0,17.5,,,83.3333333333,0.3,,1.4,1980-04-21
112,1980-04-22,00:00:00,13.375,10.5,17.2,,,88.6666666667,6.2,,1.25,1980-04-22
113,1980-04-23,00:00:00,14.55,11.5,19.5,,,83.3333333333,0.3,,1.05,1980-04-23
114,1980-04-24,00:00:00,13.125,11.8,17.4,,,90.3333333333,2.4,,0.76,1980-04-24
115,1980-04-25,00:00:00,13.85,11.0,17.0,,,85.0,6.0,,1.05,1980-04-25
116,1980-04-26,00:00:00,12.25,9.8,15.0,,,,3.2,,0.6000000000000001,1980-04-26
117,1980-04-27,00:00:00,12.95,9.6,17.5,,,89.6666666667,0.2,,0.72,1980-04-27
118,1980-04-28,00:00:00,14.25,10.8,20.0,,,78.0,0.0,,1.31,1980-04-28
119,1980-04-29,00:00:00,14.25,10.8,19.5,,,78.3333333333,0.0,,1.15,1980-04-29
120,1980-04-30,00:00:00,14.275,10.4,19.8,,,77.6666666667,0.0,,1.12,1980-04-30
121,1980-05-01,00:00:00,12.5,6.0,17.5,,,82.6666666667,0.0,2.8,1.08,1980-05-01
122,1980-05-02,00:00:00,14.1,8.9,19.4,,,80.3333333333,0.0,2.61,0.94,1980-05-02
123,1980-05-03,00:00:00,13.775,8.7,20.2,,,68.6666666667,0.0,6.2,1.69,1980-05-03
124,1980-05-04,00:00:00,13.6,8.4,26.2,,,77.0,0.5,4.3,0.88,1980-05-04
125,1980-05-05,00:00:00,14.1,9.4,18.2,,,77.3333333333,9.2,,1.63,1980-05-05
126,1980-05-06,00:00:00,13.25,10.0,17.0,,,86.6666666667,1.9,,0.92,1980-05-06
127,1980-05-07,00:00:00,12.8,10.0,16.4,,,82.6,0.0,1.9,1.62,1980-05-07
128,1980-05-08,00:00:00,13.27,9.6,17.5,,,81.6,4.0,3.89,1.35,1980-05-08
129,1980-05-09,00:00:00,12.32,10.2,16.5,,,83.0,2.5,2.88,0.64,1980-05-09
130,1980-05-10,00:00:00,14.15,9.2,18.6,,,81.66,,3.4,0.71,1980-05-10
131,1980-05-11,00:00:00,14.0,8.1,18.6,,,83.0,6.1,3.47,0.93,1980-05-11
132,1980-05-12,00:00:00,13.4,7.1,19.6,,,76.0,0.0,4.66,0.98,1980-05-12
133,1980-05-13,00:00:00,12.8,9.6,16.6,,,84.6666666667,0.0,,1.38,1980-05-13
134,1980-05-14,00:00:00,12.7,10.2,17.0,,,83.0,0.0,,1.07,1980-05-14
135,1980-05-15,00:00:00,13.1,10.4,17.0,,,,0.0,,0.81,1980-05-15
136,1980-05-16,00:00:00,14.3,9.6,18.0,,,83.0,0.0,,1.15,1980-05-16
137,1980-05-17,00:00:00,13.5,11.0,18.0,,,82.6666666667,8.3,,1.15,1980-05-17
138,1980-05-18,00:00:00,12.6,10.6,15.0,,,,4.6,,0.72,1980-05-18
139,1980-05-19,00:00:00,13.6,8.6,17.0,,,80.3333333333,0.0,,1.21,1980-05-19
140,1980-05-20,00:00:00,14.4,10.6,18.8,,,79.6666666667,0.0,,1.43,1980-05-20
141,1980-05-21,00:00:00,13.9,9.0,18.2,,,79.0,0.0,,1.38,1980-05-21
142,1980-05-22,00:00:00,13.8,9.9,17.8,,,80.3333333333,0.9,,1.26,1980-05-22
143,1980-05-23,00:00:00,13.2,10.6,16.4,,,76.3333333333,0.0,,0.97,1980-05-23
144,1980-05-24,00:00:00,14.3,8.8,20.2,,,78.3333333333,0.0,,1.06,1980-05-24
145,1980-05-25,00:00:00,13.8,10.0,18.0,,,76.0,1.6,,1.13,1980-05-25
146,1980-05-26,00:00:00,12.9,10.8,15.4,,,86.6666666667,1.8,,1.11,1980-05-26
147,1980-05-27,00:00:00,12.0,10.8,16.8,,,89.0,0.0,,1.12,1980-05-27
148,1980-05-28,00:00:00,13.2,9.8,18.3,,,77.6666666667,0.0,,1.45,1980-05-28
149,1980-05-29,00:00:00,12.6,5.7,19.0,,,82.0,0.1,,0.81,1980-05-29
150,1980-05-30,00:00:00,12.8,6.6,18.0,,,83.3333333333,0.0,,1.12,1980-05-30
151,1980-05-31,00:00:00,13.5,6.4,17.8,,,83.3333333333,9.7,,0.88,1980-05-31
152,1980-06-01,00:00:00,13.5,6.2,18.5,,,80.3,0.0,1.62,1.3,1980-06-01
153,1980-06-02,00:00:00,14.4,9.0,19.2,,,72.0,0.0,3.5,0.93,1980-06-02
154,1980-06-03,00:00:00,12.975,6.5,22.0,,,74.0,0.0,5.99,1.18,1980-06-03
155,1980-06-04,00:00:00,14.7,9.6,20.2,,,74.6666666667,0.0,5.97,1.11,1980-06-04
156,1980-06-05,00:00:00,13.1,10.7,16.5,,,86.6666666667,3.0,,1.05,1980-06-05
157,1980-06-06,00:00:00,11.95,9.8,14.8,,,87.6666666667,1.9,,0.75,1980-06-06
158,1980-06-07,00:00:00,12.0,9.4,15.8,,,82.6,0.0,1.27,1.93,1980-06-07
159,1980-06-08,00:00:00,12.4,9.2,16.5,,,80.3,0.0,2.24,1.06,1980-06-08
160,1980-06-09,00:00:00,12.35,10.0,15.5,,,82.33,0.0,5.0,1.43,1980-06-09
161,1980-06-10,00:00:00,13.0,9.7,16.8,,,85.33,,3.4,0.64,1980-06-10
162,1980-06-11,00:00:00,12.0,9.4,14.8,,,89.0,0.0,3.13,1.48,1980-06-11
163,1980-06-12,00:00:00,13.07,8.0,17.8,,,82.0,0.0,3.94,1.1,1980-06-12
164,1980-06-13,00:00:00,12.4,9.9,15.2,,,88.0,0.5,,0.89,1980-06-13
165,1980-06-14,00:00:00,12.1,9.8,14.8,,,84.3333333333,0.0,,1.57,1980-06-14
166,1980-06-15,00:00:00,12.65,9.8,16.2,,,82.0,0.0,,1.66,1980-06-15
167,1980-06-16,00:00:00,13.175,9.2,16.4,,,76.0,0.0,,1.33,1980-06-16
168,1980-06-17,00:00:00,13.425,7.6,17.0,,,83.0,1.3,,1.01,1980-06-17
169,1980-06-18,00:00:00,12.1,9.5,15.2,,,86.6666666667,0.1,,0.75,1980-06-18
170,1980-06-19,00:00:00,12.7,9.9,17.0,,,82.3333333333,1.1,,1.05,1980-06-19
171,1980-06-20,00:00:00,12.525,10.2,14.5,,,86.0,0.3,,0.8200000000000001,1980-06-20
172,1980-06-21,00:00:00,12.46,10.0,15.2,,,87.6666666667,0.2,,1.18,1980-06-21
173,1980-06-22,00:00:00,11.75,9.8,15.8,,,86.3333333333,0.0,,1.12,1980-06-22
174,1980-06-23,00:00:00,13.35,9.8,16.8,,,82.6666666667,0.0,,1.18,1980-06-23
175,1980-06-24,00:00:00,13.1,6.6,19.0,,,83.0,0.0,,0.78,1980-06-24
176,1980-06-25,00:00:00,14.0,9.2,19.4,,,79.6666666667,0.0,,1.22,1980-06-25
177,1980-06-26,00:00:00,12.5,7.7,15.2,,,89.6666666667,5.4,,1.51,1980-06-26
178,1980-06-27,00:00:00,12.5,9.9,15.6,,,76.0,0.0,,1.6,1980-06-27
